text,timestamp,sleep_hours,sleep_quality,activity_level,music_mood_score
Had a nightmare that woke me up and I couldn't go back to sleep.,2025-10-31 10:31:03,6.3,0.33,0.28,0.22
Took my dog for a long walk along the river. Fresh air did wonders.,2026-01-12 10:44:57,7.6,0.59,0.59,0.56
Finished my home renovation project. The transformation is amazing.,2025-12-10 07:37:36,6.9,0.52,0.4,0.88
My heart rate spiked for no reason. Sitting still and my heart is pounding.,2025-12-10 21:53:47,6.5,0.64,0.6,0.46
My body is keeping score. Every stress I ignore shows up as physical pain.,2026-03-17 19:06:09,6.4,0.65,0.64,0.63
Had a wonderful morning walk through the botanical gardens.,2026-03-17 08:28:19,7.5,0.54,0.56,0.34
The guilt about being unproductive is making me more unproductive. Vicious cycle.,2026-02-28 21:38:02,7.6,0.52,0.37,0.1
The brain fog is affecting my work. I'm making mistakes I never would have made before.,2025-12-11 18:03:43,7.5,0.5,0.88,0.38
The self-doubt is paralyzing. I feel like a fraud at work and in life.,2026-01-21 21:35:15,8.6,0.79,0.55,0.55
Spent the afternoon at a bookstore. Found several books on my wish list.,2026-03-19 08:08:12,4.0,0.37,0.1,0.07
Went to a jazz club downtown. The live music was incredible.,2025-11-06 07:01:04,6.1,0.34,0.82,0.71
Went to a farmers market and bought fresh flowers for my apartment.,2025-11-24 07:02:29,8.1,0.51,0.46,0.27
Had a productive brainstorming session for a personal project.,2025-12-07 20:27:11,7.9,0.52,0.39,0.54
Had to pull over on the drive home because I couldn't stop crying.,2026-02-05 19:39:15,2.4,0.25,0.15,0.21
Had a productive brainstorming session with my team at work.,2025-12-08 07:26:12,5.8,0.16,0.35,0.19
The anxiety is constant. It's like a weight on my chest that never lifts.,2025-09-05 10:50:45,6.1,0.54,0.7,0.38
Spent the morning journaling. It helps me process my thoughts.,2025-12-09 08:11:01,7.6,0.98,0.51,0.43
Went for a hike with my dog. The trail was peaceful and scenic.,2025-12-30 18:22:49,5.6,0.32,0.2,0.29
The intrusive thoughts about harm are getting more frequent. They scare me.,2026-01-15 21:03:48,6.1,0.48,0.23,0.09
Had a productive conversation with my mentor about career goals.,2025-10-15 07:15:37,7.1,0.43,0.24,0.33
I keep making promises to myself to do better tomorrow. Tomorrow never comes.,2025-11-30 19:36:09,7.2,0.5,0.3,0.11
Made time for meditation this morning. Feeling centered and calm.,2025-11-19 07:31:02,7.3,0.73,0.49,0.5
Had a good cry in the car. Sometimes the release is the only thing that helps.,2026-02-05 08:51:08,8.0,0.89,0.55,0.45
Finished organizing my home office. It feels much more productive now.,2025-10-08 19:45:58,8.1,0.74,0.45,0.56
Had a productive day at work. Crossed everything off my to-do list.,2026-02-28 20:25:37,7.0,0.69,0.77,0.91
Had a great workout class. The instructor was motivating and supportive.,2026-02-11 12:41:20,8.7,0.55,0.82,0.35
Can't stop replaying embarrassing moments from years ago. Why now?,2025-10-28 20:37:52,6.7,0.86,0.73,0.73
Spent the weekend camping. Disconnecting from technology was refreshing.,2026-02-27 19:25:54,5.9,0.24,0.0,0.04
Finished my tax return early. Glad to have that off my mind.,2026-02-04 08:40:36,6.3,0.6,0.66,0.59
Baked cookies for my neighbors. They were thrilled with the surprise.,2025-11-21 07:40:56,6.5,0.09,0.19,0.09
I keep starting and stopping medications. Nothing seems to work long enough.,2025-09-03 08:13:15,3.9,0.42,0.19,0.16
Spent 3 hours scrolling on my phone. I don't even remember what I was looking at.,2025-12-22 21:26:10,4.0,0.26,0.15,0.18
My body hurts everywhere. Stress is doing something physical to me.,2026-01-01 19:41:48,5.8,0.29,0.26,0.12
Took a different route on my commute and discovered a nice cafe.,2025-11-21 08:06:04,7.7,0.53,0.93,0.72
Organized my closet and donated clothes I don't wear anymore.,2025-09-24 09:38:39,5.1,0.13,0.11,0.07
My chest feels tight. I keep getting these waves of dread for no reason.,2025-12-21 07:03:06,8.2,0.57,0.1,0.35
Can't stop picking at my skin. The anxiety has to go somewhere.,2026-01-17 08:42:18,8.0,0.7,0.28,0.43
Avoided another gathering. The thought of making small talk makes me nauseous.,2025-09-14 09:00:27,7.8,0.37,0.41,0.51
Had a wonderful evening cooking with my partner. We tried a new cuisine.,2025-10-23 07:40:18,4.8,0.26,0.23,0.07
Skipped lunch again. Food has no appeal anymore. Everything tastes like nothing.,2026-02-17 08:05:41,6.7,0.48,0.11,0.3
Went to a photography workshop. Learning new techniques was exciting.,2025-11-07 12:29:16,7.2,0.66,0.5,0.2
Had to leave work early. The pressure was building and I couldn't breathe.,2025-09-22 20:22:51,7.5,0.22,0.0,0.12
Went for a hike in the mountains. The views were breathtaking.,2026-01-12 10:34:43,2.4,0.29,0.15,0.21
Avoided another phone call. The thought of talking to someone makes me freeze.,2026-03-02 07:32:36,6.2,0.08,0.16,0.16
I keep apologizing for things that aren't my fault. It's automatic now.,2026-03-13 12:11:10,5.8,0.19,0.0,0.37
The fear of abandonment is pushing people away. I'm creating the very thing I fear.,2025-12-21 08:52:40,6.5,0.51,0.45,0.14
Went to a farmers market and bought ingredients for a special dinner.,2025-09-23 10:35:25,6.6,0.14,0.22,0.19
My relationship is suffering because I can't communicate what I'm feeling.,2026-02-27 19:37:33,6.1,0.29,0.06,0.14
The emotional numbness is scary. I can't feel happiness or sadness. Just nothing.,2025-09-26 07:36:49,6.9,0.82,0.39,0.67
The self-sabotage is real. Things start going well and I find a way to ruin it.,2025-12-08 20:31:36,6.7,0.27,0.3,0.33
Went to a outdoor concert in the park. The music under the stars was magical.,2026-02-25 10:02:25,5.0,0.33,0.19,0.0
Had a wonderful evening of board games and laughter with friends.,2025-12-05 07:21:52,4.4,0.46,0.31,0.06
The dread before social events is getting worse. I almost cancelled again tonight.,2025-10-29 07:19:47,7.6,0.47,0.25,0.64
My self-esteem is at rock bottom. I don't recognize the person I've become.,2025-10-19 12:13:58,5.4,0.05,0.35,0.04
I don't enjoy anything anymore. Things I used to love feel pointless.,2026-01-10 07:04:19,3.4,0.37,0.05,0.18
My memory is terrible lately. I forgot an important deadline. Again.,2025-10-15 08:56:53,7.4,0.62,0.68,0.56
I'm so tired of pretending I'm okay. The mask is exhausting.,2025-10-21 08:23:52,5.4,0.85,0.44,0.36
Had a productive conversation with my boss about career advancement.,2026-01-04 19:28:11,3.6,0.27,0.07,0.39
Went to the store and had to leave because the fluorescent lights felt unbearable.,2025-11-06 21:53:44,7.5,0.61,0.71,0.22
Sat in the shower for an hour. The hot water was the only thing that felt good.,2025-10-25 08:41:14,5.3,0.37,0.41,0.23
Went to a farmers market and found organic produce at great prices.,2026-03-16 20:00:30,4.3,0.12,0.29,0.2
Finished a project at work ahead of schedule. Feeling accomplished.,2025-11-18 21:45:41,8.7,0.39,0.36,0.54
Got a promotion at work. All the hard work is paying off.,2025-11-17 20:33:52,5.3,0.24,0.45,0.2
Spent the evening playing board games with my family. Lots of laughs.,2025-12-05 18:41:38,5.3,0.3,0.45,0.34
Had a wonderful day exploring the city with my visiting parents.,2026-02-11 09:55:17,6.7,0.23,0.47,0.61
Had to ask my friend to repeat themselves three times. My brain couldn't process it.,2026-03-15 08:57:03,6.2,0.1,0.1,0.05
Had to leave a party early. The noise and crowds were overwhelming.,2026-03-04 07:41:31,5.4,0.37,0.18,0.22
Had a great conversation with my sister. We laughed about old memories.,2026-03-01 19:52:12,6.9,0.33,0.35,0.33
Completed my weekly meal prep. Feeling organized and ready for the week.,2026-02-19 09:32:19,7.2,0.04,0.22,0.25
Tried a new coffee shop downtown. The barista was friendly and the espresso was perfect.,2025-10-03 21:16:46,5.6,0.17,0.15,0.1
Had a productive meeting at work. My ideas were well received.,2025-09-23 08:22:14,4.6,0.45,0.15,0.28
The loneliness is crushing even when I'm surrounded by people.,2025-11-15 12:54:07,8.1,0.42,0.57,0.47
Finished a painting I've been working on for weeks. Proud of the result.,2025-10-20 18:07:55,4.0,0.23,0.25,0.15
The guilt from yesterday is eating me alive. I keep thinking about what I said.,2025-10-22 09:26:36,6.3,0.24,0.25,0.14
Finished reading a book that changed my perspective on several things.,2025-09-21 12:21:40,5.3,0.29,0.12,0.22
My sleep schedule is completely inverted. I'm awake when everyone else is sleeping.,2026-03-18 07:36:48,7.6,0.29,0.65,0.65
Spent the afternoon on the bathroom floor. I don't know why the floor feels safer.,2025-12-19 10:27:30,7.8,0.63,0.48,0.52
Had a wonderful dinner at a new restaurant downtown with my partner.,2025-11-22 18:12:01,4.7,0.19,0.16,0.1
I keep comparing myself to everyone around me. I'm falling behind in everything.,2025-10-04 07:24:32,6.9,0.44,0.17,0.29
Completed a 10K run. My training is really paying off.,2026-03-06 18:38:33,9.5,0.22,0.26,0.86
Went to a art gallery opening. The work was inspiring and thought-provoking.,2025-12-01 08:10:58,4.6,0.3,0.19,0.14
I keep replaying that conversation from last week. I said something wrong. I know I did.,2026-03-07 07:37:32,6.2,0.79,0.9,0.6
Had a moment where I forgot what I was saying mid-sentence. Brain fog is real.,2025-11-05 18:39:03,6.2,0.27,0.22,0.17
Woke up crying and I don't even know why. The sadness just comes in waves.,2025-09-30 10:28:24,7.2,0.88,0.58,0.79
Had a great time at a friend's birthday celebration.,2025-09-03 08:26:42,5.8,0.57,0.44,0.3
Went to a comedy open mic night. Some of the performers were hilarious.,2025-09-27 18:46:39,7.6,0.66,0.54,0.63
Woke up with a headache from clenching my jaw all night.,2025-11-07 18:12:22,5.4,0.28,0.12,0.2
The motivation to do anything is completely gone. I'm just going through the motions.,2026-01-02 09:15:00,7.6,0.65,0.29,0.4
Had a productive planning session for my upcoming vacation.,2025-09-24 18:04:46,7.3,0.15,0.0,0.29
The negative thoughts are relentless. I can't shut them off.,2025-11-07 12:03:06,7.6,0.08,0.08,0.34
I keep saying yes to things and then cancelling last minute. People are noticing.,2025-12-19 21:07:06,5.7,0.24,0.31,0.33
Went to a wine tasting event. Learning about different vintages was fascinating.,2025-11-24 09:57:28,5.2,0.44,0.12,0.28
Had a great workout at the new gym that just opened nearby.,2025-09-30 10:25:29,5.7,0.83,0.59,0.22
Completed my first 5K race. The sense of achievement is incredible.,2025-10-13 07:08:44,8.0,0.22,0.41,0.36
Had a relaxing evening watching the sunset from my balcony.,2026-01-02 19:43:28,6.5,0.72,0.8,0.55
Went to a food festival downtown. Trying new cuisines was an adventure.,2026-03-06 07:30:58,8.0,0.47,0.77,0.61
Had a panic attack in the grocery store. Had to leave my cart and leave.,2025-09-04 21:55:43,5.4,0.06,0.25,0.45
"The rumination is the worst part. Same thoughts on repeat, all day, every day.",2025-11-26 18:33:44,7.3,0.35,0.2,0.31
Couldn't get out of the house today. The door felt like it weighed a thousand pounds.,2026-02-21 20:24:09,2.0,0.12,0.36,0.26
I keep making small mistakes at work. My boss noticed. Of course they noticed.,2025-10-11 18:54:30,5.9,0.22,0.11,0.2
Couldn't drive past a certain point today. Had to turn around and go home.,2025-11-11 07:32:14,3.5,0.4,0.31,0.26
Spent the afternoon reading in the park. The weather was perfect.,2026-01-25 12:05:54,6.1,1.0,0.5,0.46
Spent the afternoon gardening. My tomatoes are finally coming in.,2025-12-13 10:02:35,6.7,0.06,0.37,0.16
Had a meaningful conversation about mental health with a close friend.,2026-01-09 18:13:41,6.9,0.22,0.28,0.23
Couldn't finish my meal. My stomach is in knots constantly.,2025-12-26 09:35:49,3.3,0.28,0.19,0.14
Went out for brunch with friends. The food and conversation were great.,2026-03-14 20:14:00,8.4,0.19,0.44,0.73
Sat in my car for 20 minutes after work before I could go inside.,2026-02-27 07:02:57,8.2,0.82,0.48,0.41
Went to a farmer's market and found the perfect avocados.,2026-02-04 08:12:07,4.2,0.33,0.24,0.01
Went to a pottery workshop. Creating something with clay was grounding.,2025-09-28 10:02:59,5.1,0.2,0.3,0.12
Went to a pottery class. Making something with my hands was therapeutic.,2026-01-29 18:08:31,7.1,0.37,0.26,0.61
Had a wonderful day at the aquarium with my niece and nephew.,2026-01-09 07:44:37,7.4,0.52,0.35,0.27
The intrusive thoughts are getting worse. I don't want to be alone with my mind.,2025-11-22 18:56:24,6.0,0.43,0.5,0.7
I keep looking at flights to somewhere far away. Not to travel. Just to escape.,2025-11-27 08:28:51,5.9,0.75,0.5,0.33
Took a long bath with essential oils. Perfect way to unwind.,2026-02-27 18:55:20,7.5,0.18,0.25,0.36
The depression is making me forget things. Important things. Work things.,2025-11-14 20:22:58,7.7,0.23,0.34,0.16
My appetite is all over the place. Either I can't eat or I can't stop eating.,2026-02-25 20:20:45,6.5,0.76,0.23,0.37
Everything feels far away. Like I'm watching my life from behind glass.,2025-12-16 20:47:57,4.8,0.48,0.25,0.06
Had a great time at a friend's wedding celebration.,2025-09-07 10:09:03,6.3,0.44,0.25,0.28
Completed my first meditation retreat. The experience was transformative.,2025-11-04 07:53:03,4.8,0.44,0.42,0.24
Had a productive meeting with my team about a new project.,2025-09-27 19:55:43,7.1,0.1,0.12,0.17
Went to a local theater production. The performances were outstanding.,2026-02-26 08:44:42,6.4,0.73,0.57,0.2
I forgot to eat today. Not intentionally. I just didn't think about food.,2026-01-20 07:00:47,5.9,0.38,0.76,0.23
My thoughts are racing. I can't hold onto one thought long enough to process it.,2026-02-10 21:45:41,5.8,0.44,0.61,0.8
Haven't exercised in weeks. I used to love running. Now I can't even think about it.,2025-10-20 08:28:11,8.0,0.39,0.19,0.14
Had a wonderful evening watching a documentary about ocean conservation.,2025-09-11 10:17:35,8.2,0.9,0.72,0.51
