text,timestamp,sleep_hours,sleep_quality,activity_level,music_mood_score
Everything feels grey and distant. I go through the motions but nothing lands.,2025-12-18,5.82,0.25,0.3,0.134
"Slept okay. Nothing remarkable about today, which is fine.",2025-12-20,7.08,0.656,0.531,0.805
Work felt manageable today. Checked off most of my tasks.,2025-12-21,7.33,0.71,0.612,0.694
Quiet evening. Read for a bit before bed.,2025-12-22,7.11,0.666,0.546,0.678
Cancelled plans last minute. Just didn't feel like being around people.,2025-12-23,7.49,0.604,0.601,0.674
"A bit tired lately, not sure why. Probably just a busy patch.",2025-12-24,7.13,0.427,0.574,0.654
Finding it harder to enjoy things I usually like. Probably just tired.,2025-12-25,7.4,0.35,0.616,0.57
Mind feels a bit cloudy. Hard to concentrate for long stretches.,2025-12-26,7.34,0.427,0.473,0.456
Withdrew from a group chat I used to enjoy. Just couldn't engage.,2025-12-27,6.09,0.584,0.259,0.375
The fatigue is relentless. Even small tasks feel enormous.,2025-12-28,6.7,0.458,0.246,0.346
Flat. That's the only word for it. Just completely flat.,2025-12-29,7.34,0.393,0.215,0.354
Didn't eat properly again. Just not hungry. Forced myself to have something small.,2025-12-30,6.55,0.453,0.208,0.16
Slept maybe 3 hours. Got up because lying there felt unbearable.,2025-12-31,6.5,0.2,0.148,0.07
I don't remember the last time I felt okay. Everything is heavy.,2026-01-01,5.97,0.303,0.149,0.117
Missed work today. Said I was sick. Technically true I suppose.,2026-01-02,6.5,0.312,0.115,0.139
I don't remember the last time I felt okay. Everything is heavy.,2026-01-03,6.5,0.194,0.166,0.128
Quiet evening. Read for a bit before bed.,2026-01-05,7.9,0.776,0.711,0.708
"Slept okay. Nothing remarkable about today, which is fine.",2026-01-06,7.94,0.681,0.654,0.614
Work felt manageable today. Checked off most of my tasks.,2026-01-07,8.56,0.621,0.661,0.571
Finding it harder to enjoy things I usually like. Probably just tired.,2026-01-08,7.74,0.507,0.78,0.771
Woke up tired even after what should have been enough sleep.,2026-01-09,7.62,0.724,0.749,0.627
Finding it harder to enjoy things I usually like. Probably just tired.,2026-01-10,6.8,0.694,0.543,0.485
Cancelled plans last minute. Just didn't feel like being around people.,2026-01-11,8.11,0.671,0.697,0.589
Withdrew from a group chat I used to enjoy. Just couldn't engage.,2026-01-12,7.5,0.51,0.486,0.4
I sat with a playlist I love and felt nothing. Turned it off after two songs.,2026-01-13,7.12,0.419,0.361,0.32
Barely left the house today. Couldn't face it.,2026-01-14,6.09,0.39,0.314,0.223
The fatigue is relentless. Even small tasks feel enormous.,2026-01-15,6.89,0.467,0.395,0.15
"Another day I won't remember. Just existing, not living.",2026-01-16,6.31,0.346,0.241,0.091
I don't remember the last time I felt okay. Everything is heavy.,2026-01-17,6.5,0.212,0.3,0.05
Stopped replying to messages. I don't have the energy to explain how I'm feeling.,2026-01-18,6.5,0.302,0.204,0.118
I've been crying on and off for no clear reason. Feeling very low.,2026-01-19,6.5,0.319,0.3,0.155
"Slept okay. Nothing remarkable about today, which is fine.",2026-01-21,6.54,0.65,0.487,0.633
Work felt manageable today. Checked off most of my tasks.,2026-01-22,6.52,0.683,0.438,0.56
Went for a walk after lunch. Nice to get some air.,2026-01-23,6.01,0.802,0.405,0.558
Finding it harder to enjoy things I usually like. Probably just tired.,2026-01-24,6.21,0.663,0.459,0.687
Cancelled plans last minute. Just didn't feel like being around people.,2026-01-25,6.13,0.586,0.382,0.7
Mind feels a bit cloudy. Hard to concentrate for long stretches.,2026-01-26,5.82,0.555,0.444,0.529
Skipped the gym — just didn't have it in me. Will go tomorrow.,2026-01-27,6.13,0.491,0.363,0.44
Didn't eat properly again. Just not hungry. Forced myself to have something small.,2026-01-28,6.18,0.605,0.167,0.184
Flat. That's the only word for it. Just completely flat.,2026-01-29,5.52,0.604,0.118,0.355
Barely left the house today. Couldn't face it.,2026-01-30,6.27,0.358,0.167,0.314
Anhedonia is the clinical word I think. Everything feels grey and pointless.,2026-01-31,5.11,0.356,0.1,0.089
I've been crying on and off for no clear reason. Feeling very low.,2026-02-01,4.98,0.194,0.062,0.069
Stopped replying to messages. I don't have the energy to explain how I'm feeling.,2026-02-02,5.42,0.171,0.08,0.133
Missed work today. Said I was sick. Technically true I suppose.,2026-02-03,4.3,0.306,0.134,0.052
Missed work today. Said I was sick. Technically true I suppose.,2026-02-04,6.14,0.309,0.05,0.098
