text,timestamp,sleep_hours,sleep_quality,activity_level,music_mood_score
"Rough start to the day, didn't want to get up. Tried to distract myself but nothing worked. Tired of feeling like this every day. Spent most of the day in bed.",2026-04-11 11:25:40,1.0,0.1,0.31,0.09
"Hard to describe today, just okay I guess. Went through the motions at work.",2026-04-12 09:10:33,1.0,0.19,0.34,0.19
Today was a struggle from the start. Couldn't focus on anything for more than a few minutes. Everything feels heavier than it should.,2026-04-13 06:23:26,1.0,0.01,0.15,0.08
"Mind kept circling the same worries all day. Barely ate anything today, no appetite. Not sure how much longer I can keep pushing through this.",2026-04-14 08:31:07,1.0,0.0,0.24,0.0
Another day where getting up felt impossible. Didn't answer any calls or messages. Not sure how much longer I can keep pushing through this.,2026-04-15 07:05:25,1.0,0.07,0.15,0.19
"Everything felt like more effort than usual today. Kept the curtains closed most of the day. Everything feels heavier than it should. Skipped work again, couldn't bring myself to go.",2026-04-16 19:40:45,1.0,,0.14,0.06
"Rough start to the day, didn't want to get up. Left the house once and came straight back.",2026-04-17 07:28:43,1.0,0.04,0.34,0.07
"Didn't sleep well again, mind wouldn't quiet down. Tried to distract myself but nothing worked.",2026-04-18 11:44:07,1.0,0.03,0.09,0.2
Today was a struggle from the start. Kept the curtains closed most of the day.,2026-04-19 23:26:02,1.0,0.14,0.05,0.0
Today was a struggle from the start. Tried to distract myself but nothing worked. Just want this feeling to stop for a while.,2026-04-20 19:12:00,1.0,0.02,0.06,0.09
"Hard to find any motivation today. Skipped work again, couldn't bring myself to go.",2026-04-21 20:20:05,1.0,0.02,0.0,0.0
Felt disconnected from everything today. Spent most of the day in bed. Tried to distract myself but nothing worked.,2026-04-22 22:11:26,1.0,0.0,0.0,0.2
"Low-key day, didn't do much. Answered a few messages, ignored the rest. Feels like I'm just getting through the days lately.",2026-04-23 22:31:21,1.0,,0.22,0.12
"Felt disconnected from everything today. Skipped work again, couldn't bring myself to go. Tired of feeling like this every day.",2026-04-24 07:10:48,1.0,0.12,0.0,0.18
Everything felt like more effort than usual today. Left the house once and came straight back. Just want this feeling to stop for a while.,2026-04-25 16:07:15,1.0,0.07,0.0,0.2
Hard to find any motivation today. Cancelled plans because I couldn't face people. Just want this feeling to stop for a while.,2026-04-26 12:55:24,1.0,0.0,0.06,0.03
"Didn't sleep well again, mind wouldn't quiet down. Couldn't focus on anything for more than a few minutes. Barely ate anything today, no appetite.",2026-04-27 19:41:50,1.0,0.15,0.07,0.01
Another day where getting up felt impossible. Spent most of the day in bed. Tired of feeling like this every day.,2026-04-28 07:36:59,1.0,0.31,0.32,0.19
Couldn't shake a heavy feeling all day. Kept the curtains closed most of the day. Not sure how much longer I can keep pushing through this. Left the house once and came straight back.,2026-04-29 20:36:09,1.0,0.0,0.04,0.1
Another day where getting up felt impossible. Couldn't focus on anything for more than a few minutes. Not sure how much longer I can keep pushing through this.,2026-04-30 17:05:44,1.0,0.0,0.13,0.1
Felt disconnected from everything today. Cancelled plans because I couldn't face people. Hoping tomorrow is even slightly easier.,2026-05-01 08:54:27,1.0,0.0,0.18,0.0
"Rough start to the day, didn't want to get up. Left the house once and came straight back. Tired of feeling like this every day.",2026-05-02 11:07:19,1.0,0.06,0.13,0.05
"Woke up already exhausted. Cancelled plans because I couldn't face people. Tired of feeling like this every day. Skipped work again, couldn't bring myself to go.",2026-05-03 20:53:14,1.0,,0.12,0.15
Today was a struggle from the start. Didn't answer any calls or messages. Everything feels heavier than it should. Tried to distract myself but nothing worked.,2026-05-04 17:59:56,1.0,0.24,0.15,0.29
"Today was a struggle from the start. Skipped work again, couldn't bring myself to go. Just want this feeling to stop for a while. Kept the curtains closed most of the day.",2026-05-05 06:11:19,1.0,0.02,0.23,0.0
"Everything felt like more effort than usual today. Barely ate anything today, no appetite. Everything feels heavier than it should.",2026-05-06 06:26:35,1.0,0.15,0.07,0.09
"Kept to my usual routine. Skipped my usual walk, wasn't feeling it.",2026-05-07 20:58:18,1.0,0.47,0.28,0.15
Another day where getting up felt impossible. Left the house once and came straight back. Cancelled plans because I couldn't face people.,2026-05-08 17:59:20,1.0,,0.23,0.0
"Hard to find any motivation today. Skipped work again, couldn't bring myself to go. Just want this feeling to stop for a while. Didn't answer any calls or messages.",2026-05-09 19:46:07,1.0,0.06,0.0,0.09
"Woke up already exhausted. Skipped work again, couldn't bring myself to go. Skipped work again, couldn't bring myself to go.",2026-05-10 22:48:51,1.0,0.15,0.05,0.06
Another day where getting up felt impossible. Kept the curtains closed most of the day. Not sure how much longer I can keep pushing through this. Spent most of the day in bed.,2026-05-11 07:18:30,1.0,0.35,0.3,0.41
"Wasn't feeling especially motivated today. Answered a few messages, ignored the rest. Hoping to have more energy tomorrow.",2026-05-12 06:18:10,1.0,,0.26,0.43
"Rough start to the day, didn't want to get up. Skipped work again, couldn't bring myself to go. Tired of feeling like this every day.",2026-05-13 06:10:19,1.0,0.16,0.21,0.51
"Pretty average day overall. Skipped my usual walk, wasn't feeling it. Hoping to have more energy tomorrow.",2026-05-14 20:34:37,1.0,0.38,0.2,0.33
Felt disconnected from everything today. Kept the curtains closed most of the day. Everything feels heavier than it should.,2026-05-15 08:59:46,1.0,0.36,0.38,0.46
Hard to find any motivation today. Spent most of the day in bed. Hoping tomorrow is even slightly easier.,2026-05-16 20:43:00,1.0,0.3,0.17,0.0
Same as most days lately. Spent a lot of the day just tired. Hoping to have more energy tomorrow.,2026-05-17 22:03:05,1.0,,0.2,0.18
Woke up already exhausted. Cancelled plans because I couldn't face people. Just want this feeling to stop for a while.,2026-05-18 21:09:18,1.0,0.16,0.21,0.01
Hard to find any motivation today. Couldn't focus on anything for more than a few minutes. Hoping tomorrow is even slightly easier.,2026-05-19 18:51:19,1.0,0.12,0.26,0.32
Kept to my usual routine. Did the minimum I needed to at work. Feels like I'm just getting through the days lately.,2026-05-20 07:42:10,1.0,0.45,0.17,0.27
Couldn't shake a heavy feeling all day. Kept the curtains closed most of the day. Everything feels heavier than it should.,2026-05-21 06:27:55,1.0,0.06,0.18,0.22
Today was a struggle from the start. Tried to distract myself but nothing worked.,2026-05-22 21:50:14,1.0,0.14,0.21,0.29
"Today was fine, just fine. Sat with my thoughts a bit more than usual. Not sure what to make of today.",2026-05-23 09:58:01,1.0,0.37,0.36,0.29
Woke up already exhausted. Couldn't focus on anything for more than a few minutes. Hoping tomorrow is even slightly easier.,2026-05-24 09:30:48,1.0,0.19,0.4,0.0
Another day where getting up felt impossible. Spent most of the day in bed. Everything feels heavier than it should. Left the house once and came straight back.,2026-05-25 22:26:13,1.0,0.05,0.0,0.0
Today was a struggle from the start. Spent most of the day in bed.,2026-05-26 18:37:34,1.0,0.14,0.23,0.3
"Today was a struggle from the start. Cancelled plans because I couldn't face people. Hoping tomorrow is even slightly easier. Skipped work again, couldn't bring myself to go.",2026-05-27 06:45:03,1.0,0.03,0.1,0.18
Felt disconnected from everything today. Cancelled plans because I couldn't face people. Tired of feeling like this every day.,2026-05-28 08:27:31,1.0,,0.27,0.31
Wasn't feeling especially motivated today. Kept mostly to myself today. Feels like I'm just getting through the days lately.,2026-05-29 20:04:47,1.0,0.48,0.34,0.27
"Felt a bit flat today but functional. Answered a few messages, ignored the rest. Kept mostly to myself today.",2026-05-30 21:47:25,1.0,0.35,0.41,0.24
Everything felt like more effort than usual today. Kept the curtains closed most of the day. Not sure how much longer I can keep pushing through this.,2026-05-31 17:39:49,1.0,0.21,0.19,0.16
Couldn't shake a heavy feeling all day. Sat with the same thoughts on repeat for hours.,2026-06-01 17:18:14,1.0,0.27,0.17,0.38
Wasn't feeling especially motivated today. Sat with my thoughts a bit more than usual.,2026-06-02 20:01:53,1.0,0.31,0.35,0.47
"Felt a bit flat today but functional. Skipped my usual walk, wasn't feeling it. Feels like I'm just getting through the days lately. Sat with my thoughts a bit more than usual.",2026-06-03 17:53:41,1.0,0.51,0.37,0.37
Felt a bit flat today but functional. Did the minimum I needed to at work.,2026-06-04 06:08:48,1.0,0.37,0.36,0.4
"Wasn't feeling especially motivated today. Skipped my usual walk, wasn't feeling it.",2026-06-05 21:18:57,1.0,0.45,0.32,0.5
Felt a bit flat today but functional. Watched something on my laptop to unwind. Not sure what to make of today.,2026-06-06 17:34:44,1.0,0.53,0.63,0.52
"Kept to my usual routine. Skipped my usual walk, wasn't feeling it. Just tired, nothing more to it.",2026-06-07 15:13:11,1.0,0.56,0.56,0.32
Pretty average day overall. Did the minimum I needed to at work. Not sure what to make of today.,2026-06-08 19:44:20,1.0,0.45,0.29,0.28
"Not a bad day, not a great one either. Kept mostly to myself today. Feels like I'm just getting through the days lately.",2026-06-09 19:09:41,1.0,0.54,0.51,0.29
"Not a bad day, not a great one either. Answered a few messages, ignored the rest. Feels like I'm just getting through the days lately. Watched something on my laptop to unwind.",2026-06-10 17:30:23,1.0,0.49,0.3,0.44
"Rough start to the day, didn't want to get up. Spent most of the day in bed. Tired of feeling like this every day.",2026-06-11 19:48:31,1.0,0.36,0.18,0.33
Wasn't feeling especially motivated today. Ate later than I should have. Feels like I'm just getting through the days lately. Did the minimum I needed to at work.,2026-06-12 18:14:35,1.0,0.5,0.48,0.49
"Pretty average day overall. Skipped my usual walk, wasn't feeling it. Just tired, nothing more to it.",2026-06-13 11:30:43,1.0,0.46,0.33,0.21
"Low-key day, didn't do much. Kept mostly to myself today. Hoping to have more energy tomorrow.",2026-06-14 16:29:28,1.0,0.63,0.61,0.55
"Low-key day, didn't do much. Sat with my thoughts a bit more than usual.",2026-06-15 22:12:23,1.0,0.48,0.59,0.26
"Low-key day, didn't do much. Answered a few messages, ignored the rest.",2026-06-16 07:15:34,1.0,0.29,0.43,0.28
"Not a bad day, not a great one either. Ate later than I should have. Feels like I'm just getting through the days lately.",2026-06-17 20:45:40,1.0,0.71,0.37,0.69
"Nothing much stood out today. Answered a few messages, ignored the rest.",2026-06-18 21:13:59,1.0,,0.5,0.35
Same as most days lately. Ate later than I should have. Hoping to have more energy tomorrow.,2026-06-19 08:57:35,1.0,0.59,0.35,0.57
"Today felt manageable, even good. Went for a run before work and it helped a lot. Grateful for a day that didn't feel heavy. Went to the gym and pushed through a solid session.",2026-06-20 13:56:30,1.0,0.61,0.56,0.46
"Not a bad day, not a great one either. Went through the motions at work. Did the minimum I needed to at work.",2026-06-21 13:26:31,1.0,0.72,0.4,0.46
"Nothing dramatic happened, just a solid day. Got through my to-do list without much stress. Feeling a bit more optimistic lately.",2026-06-22 07:40:42,1.0,0.55,0.49,0.49
"Felt a bit flat today but functional. Skipped my usual walk, wasn't feeling it. Feels like I'm just getting through the days lately. Spent a lot of the day just tired.",2026-06-23 08:37:41,1.0,0.47,0.49,0.25
"Wasn't feeling especially motivated today. Watched something on my laptop to unwind. Just tired, nothing more to it.",2026-06-24 06:08:12,1.0,0.48,0.48,0.26
"Felt a bit flat today but functional. Answered a few messages, ignored the rest. Just tired, nothing more to it.",2026-06-25 06:57:01,1.0,0.48,0.49,0.47
"Today was fine, just fine. Spent a lot of the day just tired. Just tired, nothing more to it. Ran a few errands and otherwise stayed in.",2026-06-26 20:12:04,1.0,0.4,0.59,0.57
"Low-key day, didn't do much. Watched something on my laptop to unwind. Not sure what to make of today. Ate later than I should have.",2026-06-27 08:12:51,1.0,,0.48,0.56
Things clicked into place today. Got through my to-do list without much stress. Hoping tomorrow goes about the same.,2026-06-28 11:58:41,1.0,0.65,0.63,0.73
Had a genuinely good morning today. Spent some time outside during lunch. It's nice when things just feel normal. Had coffee with a friend and it was nice to catch up.,2026-06-29 07:35:07,1.0,0.77,0.7,0.76
"Felt a bit flat today but functional. Skipped my usual walk, wasn't feeling it.",2026-06-30 08:16:25,1.0,0.71,0.55,0.71
"Had some energy back today. Called a family member just to talk. Nothing special, just steady and fine. Got some good work done at my own pace.",2026-07-01 06:16:11,1.0,0.6,0.56,0.52
Things clicked into place today. Read for a while before bed. Went to the gym and pushed through a solid session.,2026-07-02 21:32:40,1.0,0.59,0.75,0.63
